latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31,latent_32,condition
0.61504817,6.018335,1.8621151,4.054845,3.6901526,5.380884,-1.1702068,-3.5539608,-1.8398954,6.2370315,-0.019398741,1.0460782,-2.029721,1.9959785,0.7728774,3.2003386,-3.093819,-0.11569014,-0.33148983,0.8680456,3.1513832,-2.5064337,-1.7247262,-3.1757476,0.40995193,0.075480506,-2.8550675,0.37284625,6.8378325,-2.6480997,0.86912316,1.7678713,Normal
1.3567009,0.14705993,-1.2747017,-0.1405797,-0.2626301,-0.1681571,0.33124083,0.4841244,0.32922673,0.59610856,-0.615483,1.2264555,0.4987284,0.98097885,-0.38140005,0.08404225,0.52356386,0.61213595,0.852823,0.72932273,1.0999699,0.35868242,-0.47511482,-0.3071489,-0.14267144,-0.11983715,-0.45120853,-0.43535328,-0.29272437,0.21280268,0.12951574,0.0516024,CKD
-1.2226292,2.3889813,-0.35490984,2.3373158,1.1577977,1.2946824,-0.765425,-1.8517473,-2.7811952,3.992135,-1.6394087,2.1186323,2.1722414,1.2919233,1.5945168,2.1357298,-2.0303018,2.1655402,0.62534225,0.739572,0.68895125,-1.5820713,-1.5268946,-3.6131608,-0.3601564,-1.7494401,-2.5277975,2.5601277,4.2051096,-1.8790808,1.5139936,-2.1112146,Normal
-1.6225965,-1.4817965,-0.17239693,-0.3650415,0.47955596,-2.3090825,-0.5904106,1.2466769,-1.6763294,-0.52462596,0.26742497,1.068089,0.61132264,0.17232229,0.2979139,-0.6488696,1.1434791,1.4861131,1.7351536,1.4347227,0.9829639,0.46487582,0.8005827,-0.038457625,-0.7319877,-0.49573752,-0.3952637,1.516208,-1.4888142,1.6436642,1.3615401,-1.9625885,Normal
0.40926945,-0.31482536,-1.6021101,0.008657936,-0.14691326,-0.4521538,0.24709217,0.2226399,-0.5982738,-0.31477535,-0.82694757,1.3490412,-0.14251782,0.64936036,0.5676853,-1.009228,0.9384989,0.08807016,1.2652174,0.31080753,1.3573593,1.1502979,0.28284997,0.8738674,-0.13993642,0.88967234,0.026847377,0.25910726,-0.8538217,1.8378792,0.335209,-0.7480464,AKI
1.4628236,0.85643715,-1.1653754,0.5206455,-0.31231177,0.772062,-0.10375973,-0.23170543,0.07600407,0.53977215,-0.70115685,0.7251916,-0.7473139,0.8832166,-0.11677175,-0.19992155,0.26521468,-0.024127267,0.85490006,0.18298218,1.3464894,0.4455143,-0.0046564564,0.23457538,0.24544749,1.0010065,-0.64603436,-0.3831957,0.09676942,0.66008973,0.10897926,0.30967426,AKI
-0.11508039,-1.9309328,-0.863848,-0.39988792,-0.80136806,-2.0215487,0.598498,0.6666601,-1.544434,-0.8772601,-0.79897606,1.2454596,1.508805,-0.44281355,0.80476946,-1.4890952,0.939687,0.9950773,1.8686559,0.8252071,0.7357656,1.9724848,1.0160501,0.814169,-0.92222446,-0.8249503,-0.08757477,0.9040359,-1.9539356,2.033889,0.35127103,-1.7424536,CKD
-0.047227472,-1.046911,-1.2784051,0.14336112,-0.24949265,-1.4040471,-0.46331495,0.8343295,-0.543377,-0.62491167,-0.732667,1.0399263,0.16120969,0.34099185,-0.018602408,-1.430438,1.0595104,0.59627926,1.5914699,0.84270346,0.7915642,1.037086,0.44002098,0.55181664,-0.20927396,1.0098034,0.1933231,0.96948993,-1.8673941,2.0549722,0.8764817,-1.0829866,AKI
0.1029248,-0.96852773,-1.2079726,0.5392111,-1.3706007,-0.4485487,1.1478144,-0.38678673,0.11841005,0.5286894,-1.8907237,1.9415867,1.2956256,0.3853284,1.2179085,-0.9160013,0.29417512,0.52289796,0.39649692,0.14309807,0.3959692,1.1585984,0.2961582,0.91405356,-1.3228105,-0.3736491,-0.06796372,1.4079193,-0.3659115,1.2493933,1.0540557,-1.2824674,CKD
-0.53240156,0.003389813,-0.44841516,-0.5694944,0.26741317,-0.551292,-1.1271316,0.3352409,-1.0489377,0.03648959,-0.45479232,1.3016938,0.8564999,0.28122762,-0.06635574,-0.13013747,0.34070283,0.98798805,1.6875732,0.7286243,0.92908794,-0.094411716,0.28974697,-1.0286739,0.36059895,0.24272135,-0.9771061,0.6139602,-0.10178304,0.53954774,0.30691734,-1.6264253,Normal
