gene,mean_expr_AKI,mean_expr_CKD,mean_expr_Normal
CHCHD2,2.6320009231567383,2.7810893058776855,4.6418232917785645
MRPL41,1.3289529085159302,1.192652940750122,2.0465028285980225
CYSTM1,1.9456568956375122,2.548823833465576,4.940356254577637
MT1H,2.643167495727539,1.1027851104736328,1.6308642625808716
PEBP1,2.6739892959594727,3.692518472671509,5.872838973999023
ACTB,9.01344108581543,6.473251819610596,12.50644588470459
ATP5MC3,2.985539436340332,1.9875115156173706,2.9535093307495117
TOMM7,1.9984174966812134,2.260867118835449,3.936954975128174
RPL13A,2.217045307159424,2.039186716079712,3.031144857406616
RBM3,0.5840662717819214,0.5701497793197632,0.8337862491607666
B2M,18.017379760742188,14.3761625289917,17.807180404663086
S100A6,18.82437515258789,19.101886749267578,23.11263656616211
SUB1,1.9935693740844727,1.6189552545547485,2.5281317234039307
RPL7A,8.469001770019531,7.161983489990234,10.354806900024414
EIF4G2,1.1136285066604614,1.0164459943771362,1.3859474658966064
PPIC,0.5701183080673218,0.41231799125671387,0.38569536805152893
RPL11,10.909956932067871,9.708963394165039,14.046109199523926
NDUFA13,1.8917043209075928,2.4194538593292236,3.105766534805298
RPL32,11.913387298583984,10.002549171447754,14.423584938049316
SOD2,1.729613184928894,0.8035449981689453,0.9070666432380676
RPL28,13.081995964050293,9.636495590209961,12.009531021118164
HINT1,4.310747146606445,3.4696784019470215,4.272537708282471
RPL12,7.969058513641357,6.364506721496582,8.00889778137207
RPL39,13.97209644317627,11.905951499938965,16.46029281616211
TMSB10,14.870217323303223,9.40872859954834,8.308246612548828
HNRNPH1,1.9091206789016724,2.015774965286255,1.7861127853393555
RSRP1,0.5186429619789124,0.4521991014480591,0.3172250986099243
RPS23,11.460369110107422,10.41022777557373,15.408119201660156
ATP1A1,3.961991310119629,4.134609222412109,7.817408084869385
RPL26,9.554773330688477,9.046121597290039,12.225861549377441
N4BP2L2,1.2521493434906006,1.329892873764038,1.4348464012145996
CEBPD,0.9514698386192322,0.7448908090591431,3.365410327911377
PFN1,4.390687465667725,2.5972583293914795,2.907304286956787
FIS1,1.3301129341125488,1.4637644290924072,2.156533718109131
RARRES3,1.0441060066223145,0.548629879951477,0.6953451633453369
ACSL1,0.46033117175102234,0.382750928401947,0.4593215882778168
RPL10,15.747282981872559,13.7986478805542,18.52805519104004
SOD1,2.0408802032470703,2.051604747772217,3.2324090003967285
RPL30,8.902316093444824,8.677412033081055,12.538187026977539
CYB5A,2.6300570964813232,3.284409761428833,5.729881763458252
CHCHD10,2.908461332321167,2.8152315616607666,5.165305137634277
RPL13,15.109175682067871,12.185117721557617,16.768762588500977
HSPB1,1.8650102615356445,1.7020387649536133,3.368227958679199
ADGRG1,0.8379350900650024,0.4865209460258484,0.3534133732318878
COX7B,3.7104437351226807,3.3873612880706787,6.811433792114258
RPS12,16.12830352783203,13.442975044250488,17.904186248779297
HLA-C,2.5374984741210938,2.1747968196868896,2.6951866149902344
S100A2,4.818607330322266,2.5695459842681885,5.717931747436523
KCNJ16,1.2688835859298706,1.3178759813308716,1.5438507795333862
RPL35A,6.296607494354248,5.998530387878418,9.08008861541748
ZFP36L2,0.606658399105072,0.5766595602035522,1.603258490562439
