gene,class,importance,variance,variance_rank,n_cells_used,importance_rank
ATP5PD,CKD,0.011404205,6.589297968554347,460,300,178
N4BP2L2,CKD,0.011392392,3.033457498048423,701,300,179
RPL11,CKD,0.011353786,237.9918493959716,57,300,180
WDR83OS,CKD,0.011326389,5.370804990852518,509,300,181
AQP2,CKD,0.01120786,218.0425860687701,61,300,182
PDZK1IP1,CKD,0.011201444,47.95093110480802,148,300,183
MIF,CKD,0.011198089,31.530272893656388,187,300,184
RPL37,CKD,0.011162491,76.94736184850994,117,300,185
SOD1,CKD,0.011111036,12.5125708419845,318,300,186
GPX3,CKD,0.011104354,310.44954083716715,44,300,187
NDUFB1,CKD,0.011065863,14.364365585640577,293,300,188
TSC22D3,CKD,0.010947857,1.9584595213254883,914,300,189
SH3BGRL,CKD,0.01092974,1.8669146084206991,945,300,190
NDUFS5,CKD,0.010917996,15.989725133383484,279,300,191
ENO1,CKD,0.010909984,12.486962438688643,319,300,192
PTH1R,CKD,0.010898849,6.040383427348989,479,300,193
CLDN10,CKD,0.010835526,11.847045061468462,336,300,194
SRP9,CKD,0.010712201,3.775223046874146,621,300,195
RPS17,CKD,0.0107105905,0.9661422250056152,1416,300,196
ATP5MC3,CKD,0.01067874,29.56668185655874,196,300,197
PPIA,CKD,0.010647478,44.69411667945336,155,300,198
AURKAIP1,CKD,0.0106169665,3.6126895170729525,643,300,199
TMEM14C,CKD,0.010598567,2.7210202915533523,750,300,200
RPL10A,CKD,0.010553482,33.4534660363197,182,300,201
TPI1,CKD,0.010528833,9.988854954763841,375,300,202
CPVL,CKD,0.0105114365,2.3169926749275804,829,300,203
CHMP3,CKD,0.010479795,0.5148702761948694,2236,300,204
FXYD4,CKD,0.010461264,297.69637810132633,46,300,205
RPLP0,CKD,0.010381433,12.694511935906146,315,300,206
CYCS,CKD,0.010350132,11.876036546216532,334,300,207
OST4,CKD,0.010261181,16.118985438365353,276,300,208
PLCG2,CKD,0.010254836,0.7772462575463118,1658,300,209
SMDT1,CKD,0.010234782,4.015003488452908,604,300,210
AQP1,CKD,0.010219853,10.330548475956567,365,300,211
RPL22,CKD,0.010142443,29.903169486017358,194,300,212
ZFAND5,CKD,0.010126913,3.9941770774451375,607,300,213
SLC12A1,CKD,0.01011192,241.75052462228015,56,300,214
C18orf32,CKD,0.010094127,0.7221213831625372,1746,300,215
SNHG7,CKD,0.0100582745,0.7156163363578065,1755,300,216
RPS6,CKD,0.010025197,95.74202209866125,104,300,217
CRIP1,CKD,0.009970542,8.165102556510838,415,300,218
ATOX1,CKD,0.009959737,5.591244832731364,494,300,219
SUMO2,CKD,0.009944003,10.655728976350275,358,300,220
PEBP1,CKD,0.009925032,38.813454307484946,170,300,221
ANAPC13,CKD,0.009907274,1.1305733271518166,1287,300,222
AES,CKD,0.009884008,2.7003274042452476,753,300,223
RPL21,CKD,0.009873241,52.02910329672228,144,300,224
ZFAS1,CKD,0.009860345,2.137666840264932,865,300,225
COX5B,CKD,0.009852405,67.18950717379361,131,300,226
HNRNPU,CKD,0.00977444,2.0518946486149248,894,300,227
SOD3,CKD,0.009759301,106.00328328443034,95,300,228
ACTG1,CKD,0.009755102,126.57777105061743,84,300,229
CST3,CKD,0.009725585,74.64987499731694,123,300,230
NDUFA4,CKD,0.009698658,124.4510654839503,88,300,231
SCIN,CKD,0.009625941,2.3142717247357787,831,300,232
SEC61G,CKD,0.009604142,10.16173202163049,369,300,233
OGA,CKD,0.009603522,0.45459698415792416,2444,300,234
RPL32,CKD,0.009603336,229.0451152497398,58,300,235
HNRNPA2B1,CKD,0.009588546,6.325918980208341,470,300,236
CD74,CKD,0.009565289,103.55609116856445,98,300,237
RHOB,CKD,0.009531864,8.259505469109492,413,300,238
EPCAM,CKD,0.009509702,20.635901791028065,245,300,239
FKBP2,CKD,0.009505936,6.022789073145464,481,300,240
CLCNKB,CKD,0.009443955,4.766372018232703,544,300,241
SELENOW,CKD,0.009397863,4.429505852910635,573,300,242
GPR56,CKD,0.009335474,0.549342814633564,2125,300,243
PSMA4,CKD,0.009332313,1.0732664550373008,1325,300,244
NACA,CKD,0.009321854,46.41356171411054,152,300,245
RPL4,CKD,0.009316061,6.541433412335716,462,300,246
