gene,class,importance,variance,variance_rank,n_cells_used,importance_rank
MYL12A,Normal,0.026656333,10.543943376108952,360,300,165
MDH1,Normal,0.02649802,2.872806189805427,722,300,166
ENO1,Normal,0.026443683,12.486962438688643,319,300,167
ALDOB,Normal,0.026358504,96.29671082370429,102,300,168
MGST3,Normal,0.026167009,23.631054864721058,225,300,169
PCSK1N,Normal,0.025994772,30.76495679215855,190,300,170
MCL1,Normal,0.025985599,0.7619564474366138,1679,300,171
SLC3A2,Normal,0.025797827,1.4495755584915213,1105,300,172
ATP6V1B1,Normal,0.025549602,3.337076652763837,661,300,173
RPL22,Normal,0.0255046,29.903169486017358,194,300,174
N4BP2L2,Normal,0.025502674,3.033457498048423,701,300,175
NDUFA8,Normal,0.02542674,1.333196109723153,1169,300,176
ARL6IP4,Normal,0.025301315,2.574169104681178,777,300,177
SRGN,Normal,0.025113188,3.089330973159499,692,300,178
PRDX5,Normal,0.025092706,16.672948226827653,269,300,179
ATP5F1E,Normal,0.025082953,68.57512318044834,128,300,180
MYL6,Normal,0.024942257,69.61288664317613,127,300,181
CALM3,Normal,0.02493071,1.3890868023872205,1144,300,182
MRPL41,Normal,0.02492619,5.398052612547536,506,300,183
UGT2B7,Normal,0.02483215,11.39343776186414,344,300,184
WNK1,Normal,0.024778383,26.859875314899455,212,300,185
MT1H,Normal,0.024722837,80.91455229528887,112,300,186
COX6A1,Normal,0.024655208,31.402185224269694,188,300,187
CA2,Normal,0.024631137,16.466391166313784,272,300,188
TMEM66,Normal,0.024556385,1.494780018760543,1081,300,189
RPL6,Normal,0.024525404,63.91333399509555,135,300,190
ACADVL,Normal,0.02449334,2.331340123705527,826,300,191
MAL,Normal,0.024429293,30.656748720174928,191,300,192
CREM,Normal,0.024313828,1.2928447099164249,1186,300,193
CYCS,Normal,0.024155289,11.876036546216532,334,300,194
ERP29,Normal,0.024137545,2.7108215978795744,752,300,195
ST13,Normal,0.02410679,3.2580866214676734,675,300,196
NDUFA4,Normal,0.024082733,124.4510654839503,88,300,197
COX7A1,Normal,0.023995789,6.2976786952562245,471,300,198
FXYD2,Normal,0.023956921,1301.1846189335959,22,300,199
RPL11,Normal,0.023911817,237.9918493959716,57,300,200
ATP5PD,Normal,0.023909021,6.589297968554347,460,300,201
GLS,Normal,0.023906453,3.237438051629122,676,300,202
COX7C,Normal,0.023888899,107.79834568673067,94,300,203
RPL26,Normal,0.02383128,176.0467765880664,66,300,204
TIPARP,Normal,0.02377336,0.4988445521807884,2283,300,205
HAGH,Normal,0.023748195,0.6641599585129567,1852,300,206
DYNLT1,Normal,0.02372274,3.052549001930305,697,300,207
GUK1,Normal,0.023658844,6.249381120417096,473,300,208
EIF1AX,Normal,0.023654973,1.4196194396633295,1120,300,209
AQP2,Normal,0.0236315,218.0425860687701,61,300,210
C12orf75,Normal,0.023497669,18.97005000225746,254,300,211
PPIB,Normal,0.023460288,5.325920778223576,511,300,212
LIFR,Normal,0.023266075,0.8720385362485118,1520,300,213
RPL17,Normal,0.023239097,9.284462628229361,394,300,214
COX7A2L,Normal,0.023233403,3.0601554301908536,696,300,215
PRDX3,Normal,0.023208864,3.1409481819323126,686,300,216
HSPB1,Normal,0.02320855,35.67953135387101,176,300,217
CIRBP,Normal,0.023146782,5.38019178181332,507,300,218
CRYL1,Normal,0.023085287,1.5540449584145093,1058,300,219
GPX1,Normal,0.0230157,5.4848433627538675,502,300,220
ATP5F1B,Normal,0.023005832,11.976923921660829,331,300,221
APOE,Normal,0.022939855,271.921707505733,50,300,222
RPS11,Normal,0.022935959,9.603698437266331,386,300,223
ZFP36L1,Normal,0.022849435,5.752401814854957,488,300,224
SLC25A3,Normal,0.022843225,12.22671032286041,327,300,225
PTP4A1,Normal,0.02271647,1.2713465683817577,1204,300,226
DDIT4,Normal,0.022659747,0.6225748183799258,1956,300,227
PVALB,Normal,0.022650482,4.003449957369366,606,300,228
SELM,Normal,0.022554457,3.7109540605257214,631,300,229
RPS15,Normal,0.022538608,148.1506107347555,76,300,230
IER2,Normal,0.022441272,28.231273063542773,205,300,231
COX5B,Normal,0.022365985,67.18950717379361,131,300,232
C8orf59,Normal,0.022120632,1.5993945703412564,1038,300,233
GNAS,Normal,0.022076927,17.891323387141462,260,300,234
MDH2,Normal,0.022062575,2.2114800433292907,850,300,235
RPSA,Normal,0.021936717,14.093096967597084,298,300,236
7SK.2,Normal,0.021860493,0.4826025685591772,2332,300,237
RPL10,Normal,0.021844069,419.89969016257425,35,300,238
PET100,Normal,0.021832112,2.337491345309431,824,300,239
RPL15,Normal,0.021768741,76.76826319927655,118,300,240
GLRX5,Normal,0.021713661,2.1321284168757657,866,300,241
SNHG8,Normal,0.021706419,2.5971901551864978,771,300,242
TXN,Normal,0.021653367,20.789462677424904,242,300,243
CYBA,Normal,0.021639831,21.344551444210538,238,300,244
EIF5,Normal,0.02159884,1.1714402472130163,1268,300,245
PKM,Normal,0.021554397,10.895610144789844,356,300,246
KRT8,Normal,0.021545792,13.838867234588966,302,300,247
RPL13A,Normal,0.02145292,8.401324759326567,410,300,248
NEDD9,Normal,0.021371374,0.4739863551842599,2365,300,249
HLA-E,Normal,0.021320885,6.974695533826691,450,300,250
SNHG7,Normal,0.021281853,0.7156163363578065,1755,300,251
RPL29,Normal,0.021265985,102.66623243783505,100,300,252
HYAL2,Normal,0.021233514,1.6219224579843317,1028,300,253
UQCRFS1,Normal,0.021220692,4.251559696733973,584,300,254
RPS13,Normal,0.021219276,134.5799379166561,80,300,255
SLC12A3,Normal,0.021180158,66.34302334093978,133,300,256
UQCRB,Normal,0.02115986,47.72447712720157,149,300,257
VAMP2,Normal,0.021015085,2.056429072922707,891,300,258
EDF1,Normal,0.021001395,12.410210662969305,322,300,259
ALB,Normal,0.020944064,6.2623308169140905,472,300,260
NDUFB1,Normal,0.020673841,14.364365585640577,293,300,261
RPS7,Normal,0.020612907,75.23656576475125,120,300,262
ATP5I,Normal,0.020598358,11.872216710626859,335,300,263
SAP18,Normal,0.020505186,5.31629553524138,514,300,264
GABARAPL1,Normal,0.020472474,2.297029796686579,834,300,265
HSD11B2,Normal,0.020322843,42.442097954047064,159,300,266
GSTO1,Normal,0.02023497,1.9028419517715727,929,300,267
PNRC1,Normal,0.02007764,2.12129019242723,868,300,268
TMEM52B,Normal,0.020058053,75.98908197525043,119,300,269
DUSP6,Normal,0.02004184,1.5358373115842336,1067,300,270
PSMB1,Normal,0.020031901,2.9863582524476637,706,300,271
JUN,Normal,0.020028615,23.176589226487124,230,300,272
HIF1A,Normal,0.020026574,1.6055919764920783,1033,300,273
