cell_type,gene,variance,variance_rank
IMM,RPS11,8.292862802003867,214
IMM,IL7R,8.219324380425569,215
IMM,PSAP,8.166333950706012,216
IMM,CALM2,8.01502060572481,217
IMM,CSTB,7.906770685801566,218
IMM,MYL12A,7.828940242743967,219
IMM,RPL17,7.671158191157637,220
IMM,SELENOP,7.658149588093161,221
IMM,RPL36A,7.3913335375723435,222
IMM,HIST1H4C,7.37072293030492,223
IMM,COX7C,7.176713770058471,224
IMM,MGP,7.171781010241206,225
IMM,YBX1,7.143979639730427,226
IMM,DERL3,7.123166781004595,227
IMM,IGFBP7,7.063274795107295,228
IMM,FCN1,7.039667316130175,229
IMM,ZFP36,7.005984027953443,230
IMM,RPLP0,7.005727690372962,231
IMM,HCST,6.938082101812704,232
IMM,CLU,6.911831675981558,233
IMM,IFITM3,6.794901515462004,234
IMM,HLA-A,6.769249037029116,235
IMM,RPL36AL,6.552322786796706,236
IMM,HLA-DMA,6.471066061098344,237
IMM,NPC2,6.4182690196257175,238
IMM,CD52,6.395787816451019,239
IMM,IGKV4-1,6.388838882610237,240
IMM,IL32,6.311054988582079,241
IMM,TSC22D3,6.245136051153849,242
IMM,H2AFZ,6.216988112411949,243
IMM,HSPA1B,6.175797827388411,244
IMM,SUB1,6.165823136716185,245
IMM,XBP1,6.045861617363212,246
IMM,HMGN2,5.984397556338133,247
IMM,TYMP,5.9800764916068445,248
IMM,MS4A6A,5.897310277300435,249
IMM,EEF1D,5.87032228446479,250
IMM,IL1B,5.802213742765389,251
IMM,NPM1,5.697402854048409,252
IMM,COX4I1,5.676532076317896,253
IMM,HLA-DQA2,5.661985573154349,254
IMM,CXCR4,5.584243493201182,255
IMM,CTSB,5.582069610846641,256
IMM,TMA7,5.571029871555738,257
IMM,NDUFA4,5.567487563891655,258
IMM,CD69,5.546722325310687,259
IMM,MT1E,5.50013165774642,260
IMM,EMP3,5.447520996164859,261
IMM,HLA-E,5.320099037365331,262
IMM,PRDX1,5.185914181024317,263
IMM,RGS1,5.182481251251312,264
IMM,BTF3,5.095053312434,265
IMM,GPX4,4.996865831885211,266
IMM,HINT1,4.964483258597878,267
IMM,PPIB,4.953819703367726,268
IMM,TSPO,4.952847428941991,269
IMM,CLIC1,4.952397846166953,270
IMM,GZMA,4.922548326900956,271
IMM,ANXA2,4.911440240782829,272
IMM,HMGB2,4.802204175910736,273
IMM,GADD45B,4.797240756032218,274
IMM,IFITM2,4.778096184426046,275
IMM,COX5B,4.775011858774682,276
IMM,FCGR3A,4.770213568724855,277
IMM,UQCRB,4.754959749921342,278
IMM,ATP5MG,4.750502568078238,279
IMM,ATP5MC2,4.733233821408682,280
IMM,ARPC1B,4.719370101818199,281
IMM,IER3,4.653922782162484,282
IMM,ARHGDIB,4.647224654764512,283
IMM,CALM1,4.63678390617147,284
IMM,NFKBIA,4.615133228609255,285
IMM,UBB,4.595373934576188,286
IMM,RPL23,4.5913070437542975,287
IMM,ARPC2,4.547163953528898,288
IMM,CD81,4.502363800473934,289
IMM,MT-ATP8,4.490417889855328,290
IMM,ZFP36L2,4.420994073857917,291
IMM,HSPA5,4.3832797745290515,292
IMM,DBI,4.287576075720996,293
IMM,COX6B1,4.22861643566169,294
IMM,CRIP1,4.19706011521038,295
IMM,SRP14,4.17945492896612,296
IMM,PTPRC,4.084038556044826,297
IMM,RPL4,4.056565104260631,298
IMM,ADIRF,4.027195782462797,299
IMM,KLRB1,3.980591636231445,300
IMM,RHOB,3.9702945091609014,301
IMM,COMMD6,3.8921516164393624,302
IMM,RPL13A,3.8639973935854526,303
IMM,VAMP8,3.8567772374886906,304
IMM,OST4,3.837926314641726,305
IMM,RPL7,3.8340137709906825,306
IMM,COX8A,3.8227118535052798,307
IMM,MS4A7,3.8089122824659056,308
IMM,CDC42,3.7550608826649907,309
IMM,HSP90AB1,3.7540775632874364,310
IMM,CHCHD2,3.7093143904187977,311
IMM,HNRNPH1,3.694175447823161,312
IMM,SNX3,3.6931121499709376,313
IMM,MMP9,3.68911879050741,314
IMM,MYL12B,3.6807563175376616,315
IMM,CFD,3.675929887585211,316
IMM,ATP1A1,3.650868425641891,317
IMM,CEBPB,3.59387185560138,318
IMM,CORO1A,3.5844923863946874,319
IMM,HNRNPA1,3.57705306324052,320
IMM,STMN1,3.565886567490748,321
IMM,KLF2,3.5488797211067005,322
IMM,SEC11C,3.5218863806585645,323
IMM,CCL2,3.4972667000593893,324
IMM,UBL5,3.4469093698255184,325
IMM,SEC61B,3.3962697923965948,326
IMM,ANXA1,3.3939148793129377,327
IMM,CALR,3.3834773109498535,328
IMM,MNDA,3.3803195702967805,329
IMM,SUMO2,3.3565842986460686,330
IMM,HSPE1,3.3468146563107366,331
IMM,DYNLL1,3.3394841135523166,332
IMM,HNRNPA2B1,3.3376992906493403,333
IMM,EIF3K,3.337226538060422,334
IMM,BRI3,3.306700820508749,335
IMM,SLC12A1,3.2857293088575843,336
IMM,PABPC1,3.2808088039875676,337
IMM,PPDPF,3.2721759553508285,338
IMM,CD37,3.261588952945691,339
IMM,LAPTM5,3.2543936973700602,340
IMM,TOMM7,3.2437450305114908,341
IMM,SERPINA1,3.2323243846953416,342
IMM,COX6C,3.18303088274881,343
IMM,SLC25A6,3.157959658256421,344
IMM,COX7B,3.125851850579906,345
IMM,MIF,3.1242239742670113,346
IMM,GNAS,3.0680769434023185,347
IMM,DDIT4,3.0453608233959577,348
IMM,TMEM52B,3.0308975650590577,349
IMM,FKBP11,3.029781574567571,350
IMM,DUSP2,3.0247810939074036,351
IMM,ISG15,3.0220041171861847,352
IMM,GRN,2.9679578690729436,353
IMM,LCP1,2.941584619274219,354
IMM,IFI30,2.9209887252636815,355
IMM,SGK1,2.907450405984382,356
IMM,FGL2,2.858050541819835,357
IMM,HSPA8,2.857735718874973,358
IMM,EDF1,2.8527473643236156,359
IMM,CCL19,2.831283383460096,360
IMM,UQCR11,2.8188898199463903,361
IMM,GNG5,2.810329447095575,362
IMM,C15orf48,2.805405580752133,363
IMM,UQCRH,2.8010386065122734,364
IMM,SERP1,2.7890991422104996,365
IMM,KLK1,2.752114412895286,366
IMM,NDUFB2,2.740811480002143,367
IMM,FCER1A,2.719275431099909,368
IMM,MARCKS,2.685590933953486,369
IMM,ATP6V0B,2.6756588469321207,370
IMM,GNAI2,2.670161241931706,371
IMM,HSPB1,2.654642603420366,372
IMM,DDX5,2.6367468029198164,373
IMM,LGALS2,2.6047686899528077,374
IMM,ELOB,2.602960329497744,375
IMM,SLC25A5,2.5888966313191712,376
IMM,CAPG,2.5777906766565275,377
