cell_type,gene,variance,variance_rank
PT,GRINA,0.4929813213699912,1811
PT,RBMX,0.492549895384316,1812
PT,CENPX,0.4925264949139494,1813
PT,AGTRAP,0.4914317749580602,1814
PT,STX7,0.4910217864158804,1815
PT,AFF1,0.4909449450282758,1816
PT,SLC22A18,0.4909243265248916,1817
PT,TSPAN33,0.4903277580160361,1818
PT,WWTR1,0.4899551982628627,1819
PT,ARPP19,0.4895926666614717,1820
PT,CYP3A5,0.48945375902050264,1821
PT,SLC25A4,0.48937787875244765,1822
PT,GOT1,0.4890869769907206,1823
PT,ABHD14B,0.4870206955695717,1824
PT,NCKAP1,0.48649192747571707,1825
PT,HLA-DPB1,0.486258362653861,1826
PT,TCF25,0.4858912612627955,1827
PT,CLPP,0.4857827371746225,1828
PT,PSMC3,0.4857699995643243,1829
PT,PDCD10,0.4836373328416997,1830
PT,TPP1,0.4832838926517039,1831
PT,PHF3,0.4827045033606474,1832
PT,AP2B1,0.4819323312756034,1833
PT,SAR1A,0.4816488758080112,1834
PT,COQ4,0.48145787561211717,1835
PT,KLHDC2,0.4807670266362094,1836
PT,CREB5,0.480746405735389,1837
PT,ALDH1B1,0.4806924660240636,1838
PT,KLF10,0.4805296649666821,1839
PT,UBE2C,0.480440726638874,1840
PT,MRPL36,0.48009660007069394,1841
PT,TATDN1,0.47935306761630353,1842
PT,VNN1,0.47899797097025165,1843
PT,ANXA3,0.47876857728559163,1844
PT,GTF3A,0.4787437385132721,1845
PT,SUMF2,0.47743196167831625,1846
PT,TNRC6B,0.47733484933784043,1847
PT,DLD,0.4766129618788047,1848
PT,NDUFA7,0.4758323050139411,1849
PT,LSM6,0.47536093661355694,1850
PT,MRPL22,0.47534118627432415,1851
PT,NME4,0.4752005227203762,1852
PT,COA5,0.4735291751414119,1853
PT,FBXW5,0.47341981552631696,1854
PT,CPNE3,0.4728262322140519,1855
PT,MIR4458HG,0.47281627366636564,1856
PT,ABLIM1,0.47267508576095835,1857
PT,SAR1B,0.4720056058428906,1858
