cell_type,gene,class,importance,n_cells_used_for_importance,mean_expr_AKI,mean_expr_CKD,mean_expr_Ref,target_minus_others_mean,abs_target_minus_others_mean,combined_score
PC,TPM4,AKI,0.014196599,400,1.4459021,2.225085,3.33497,-1.3341253995895386,1.3341253995895386,0.018940043183403033
PC,RPS8,AKI,0.005513756,400,6.4087768,8.352336,11.132712,-3.333747386932373,3.333747386932373,0.01838146989149858
PC,CYB5A,AKI,0.004525773,400,5.91009,7.230355,12.646662,-4.028418302536011,4.028418302536011,0.01823170770163962
PC,BTG2,AKI,0.014308098,400,0.81824,0.91688687,3.2660778,-1.273242324590683,1.273242324590683,0.018217675668074335
PC,UQCRQ,AKI,0.012473001,400,3.3920279,3.214436,6.484125,-1.4572527408599854,1.4572527408599854,0.018176315105048024
PC,JUN,AKI,0.007680876,400,0.52528805,0.9043501,4.822239,-2.338006466627121,2.338006466627121,0.017957938179440414
PC,SNHG8,AKI,0.028079618,400,0.6018482,0.98818475,1.4916574,-0.6380728781223297,0.6380728781223297,0.017916842526138343
PC,ARG2,AKI,0.011363566,400,0.5996632,0.7958617,3.5559788,-1.576257050037384,1.576257050037384,0.017911900897775723
PC,FAU,AKI,0.00531156,400,6.085674,7.3795,11.486758,-3.3474552631378174,3.3474552631378174,0.017780209094993005
PC,TNFRSF12A,AKI,0.013704952,400,0.6752702,0.8331161,3.1075869,-1.2950812876224518,1.2950812876224518,0.017749026692017167
PC,RPS15A,AKI,0.006714214,400,5.957481,7.4149346,9.776496,-2.6382343769073486,2.6382343769073486,0.017713670466146803
PC,AOC1,AKI,0.03649153,400,0.9124463,1.5058156,1.282374,-0.4816485047340393,0.4816485047340393,0.017576089970554598
PC,COX17,AKI,0.016774716,400,1.2725053,1.564276,3.0713727,-1.0453190803527832,1.0453190803527832,0.017534930551478034
PC,ITM2B,AKI,0.008404644,400,13.043724,15.276188,14.9737625,-2.0812511444091797,2.0812511444091797,0.017492175372435526
PC,UQCRB,AKI,0.00800737,400,4.0975347,4.2696857,8.241355,-2.1579856872558594,2.1579856872558594,0.01727978971339894
PC,TACSTD2,AKI,0.02523751,400,2.71004,3.6862154,3.0998805,-0.6830078363418579,0.6830078363418579,0.017237417086640727
PC,DDX5,AKI,0.016933449,400,1.8394467,2.0650513,3.647249,-1.016703486442566,1.016703486442566,0.017216296242017926
PC,RPL6,AKI,0.005838967,400,4.0555596,5.2961984,8.710366,-2.9477226734161377,2.9477226734161377,0.01721165520423784
PC,RPL23A,AKI,0.0088137025,400,2.527277,3.1757169,5.7762976,-1.948730230331421,1.948730230331421,0.01717552850554127
PC,UCHL1,AKI,0.02504267,400,0.9185501,1.4546086,1.7489281,-0.683218240737915,0.683218240737915,0.017109608836662904
PC,WSB1,AKI,0.014749084,400,1.9995735,2.743213,3.5757227,-1.159894347190857,1.159894347190857,0.017107378772750703
PC,BEX2,AKI,0.02359345,400,0.5846896,0.9380635,1.679848,-0.7242661118507385,0.7242661118507385,0.017087936271381943
PC,RPL13,AKI,0.0031041182,400,10.261274,12.927623,18.586657,-5.495865345001221,5.495865345001221,0.01705981544777191
PC,SLC38A2,AKI,0.05589262,400,0.90937585,0.7199207,0.49080563,0.3040126860141754,0.3040126860141754,0.016992065606219797
PC,DBI,AKI,0.027336003,400,2.991009,3.257662,3.9614801,-0.6185621023178101,0.6185621023178101,0.016909015644744896
PC,PTMS,AKI,0.019379256,400,1.723377,2.3931339,2.7867692,-0.8665745258331299,0.8665745258331299,0.01679356983325908
PC,CYS1,AKI,0.023137992,400,1.1861017,1.5123326,2.301773,-0.7209511399269104,0.7209511399269104,0.016681361886771717
PC,SLIRP,AKI,0.02303759,400,0.72223043,0.96719104,1.9253707,-0.7240504324436188,0.7240504324436188,0.01668037706456027
PC,COX7A2L,AKI,0.024342058,400,0.8309933,1.1425357,1.8866897,-0.6836193799972534,0.6836193799972534,0.01664070275263385
PC,COX4I1,AKI,0.013635427,400,3.8819706,3.8503432,6.348627,-1.2175145149230957,1.2175145149230957,0.01660132999712971
PC,SPINT2,AKI,0.016015815,400,3.0605247,4.090769,4.1031303,-1.0364248752593994,1.0364248752593994,0.016599188666888143
PC,HSPE1,AKI,0.0143567845,400,2.239926,2.244884,4.544724,-1.1548779010772705,1.1548779010772705,0.016580333175602036
PC,LCN2,AKI,0.026224367,400,0.7068792,0.17393103,0.0012106538,0.6193083554389887,0.6193083554389887,0.01624096979771008
PC,SCNN1G,AKI,0.024412464,400,1.7319067,2.2188654,2.552257,-0.6536545753479004,0.6536545753479004,0.01595731901819697
PC,MUC1,AKI,0.030083146,400,3.7758148,3.4333467,3.0611494,0.5285667181015015,0.5285667181015015,0.01590094972298539
PC,ATPIF1,AKI,0.014563917,400,0.83044225,1.0761808,2.7466183,-1.080957293510437,1.080957293510437,0.015742972500382035
PC,MAL,AKI,0.02358943,400,5.0154915,4.8649774,6.494784,-0.6643891334533691,0.6643891334533691,0.01567256120675875
PC,PFN1,AKI,0.016291128,400,3.3252327,3.5671813,4.9980216,-0.9573687314987183,0.9573687314987183,0.015596616999436597
PC,RACK1,AKI,0.016630983,400,2.853857,3.2716105,4.3105197,-0.9372080564498901,0.9372080564498901,0.01558669123566081
PC,NDUFA4,AKI,0.0036188234,400,10.164094,10.864764,18.056139,-4.29635763168335,4.29635763168335,0.015547759379255233
PC,COX6C,AKI,0.0077239983,400,4.161109,3.9728158,8.373472,-2.0120350122451782,2.0120350122451782,0.015540954970620913
PC,RPL8,AKI,0.0044122334,400,7.6903706,8.933222,13.470672,-3.5115761756896973,3.5115761756896973,0.015493893562033234
PC,FOSL2,AKI,0.025992827,400,0.43228933,0.4262354,1.6282473,-0.5949520021677017,0.5949520021677017,0.015464484757158586
PC,UBB,AKI,0.008518402,400,4.2168107,4.7203326,7.3422527,-1.8144819736480713,1.8144819736480713,0.015456487716455358
PC,NR4A1,AKI,0.012606919,400,0.1024935,0.084831595,2.5310686,-1.2054565772414207,1.2054565772414207,0.015197093200430611
PC,PIK3C2G,AKI,0.028842682,400,1.0911916,1.8623979,1.3618041,-0.5209093689918518,0.5209093689918518,0.015024423290485367
PC,NDRG1,AKI,0.00936351,400,3.2020843,3.662778,5.936355,-1.5974822044372559,1.5974822044372559,0.014958040140154338
PC,PKM,AKI,0.040198307,400,3.7906132,3.2869222,3.5528538,0.370725154876709,0.370725154876709,0.014902523767931442
PC,RPL7A,AKI,0.003951283,400,6.9804783,9.130173,12.369736,-3.7694759368896484,3.7694759368896484,0.014894266835835168
PC,SRP14,AKI,0.005240064,400,4.8258524,6.086124,9.246113,-2.840265989303589,2.840265989303589,0.014883175885707978
PC,RPL32,AKI,0.0028401732,400,8.733389,10.656725,17.207851,-5.198899269104004,5.198899269104004,0.014765774362744066
PC,BAG1,AKI,0.014322941,400,0.9483118,1.330598,2.607834,-1.0209042429924011,1.0209042429924011,0.014622351434527336
PC,HES4,AKI,0.019128539,400,0.14453278,0.17088693,1.638071,-0.7599461525678635,0.7599461525678635,0.014536659365110505
PC,HMGB1,AKI,0.009538862,400,2.1967645,2.949097,4.4888887,-1.5222283601760864,1.5222283601760864,0.014520326142872242
PC,CD24,AKI,0.020835703,400,5.0495467,4.932601,6.547141,-0.6903243064880371,0.6903243064880371,0.014383392388546135
PC,LINC00473,AKI,0.013375647,400,0.05078658,0.053187743,2.1981514,-1.0748829655349255,1.0748829655349255,0.014377255506765912
PC,GATA3-AS1,AKI,0.023701677,400,0.9778152,1.2513583,1.913132,-0.6044299006462097,0.6044299006462097,0.014326002334018706
PC,MT-CO2,CKD,0.0135526825,400,158.76923,169.46132,411.2371,-115.54183959960938,115.54183959960938,1.5659018645848732
PC,MT-ND3,CKD,0.0050967713,400,118.9951,158.79973,349.056,-75.22582244873047,75.22582244873047,0.3834088120227612
PC,MT-CO1,CKD,0.0041873376,400,181.16104,223.91992,434.9214,-84.12129211425781,84.12129211425781,0.35224424846480673
PC,MT-CYB,CKD,0.0063693696,400,56.09931,72.66395,162.99379,-36.88260269165039,36.88260269165039,0.2349189272527159
PC,MT-CO3,CKD,0.0041063274,400,112.27878,134.12787,249.91032,-46.96668243408203,46.96668243408203,0.1928605761726736
PC,MT-ATP6,CKD,0.0035295857,400,85.39159,96.691956,190.36531,-41.186492919921875,41.186492919921875,0.14537125500556414
PC,MT-ND4L,CKD,0.035411138,400,19.219479,31.706015,37.299038,3.446756362915039,3.446756362915039,0.12205356552119184
PC,MT-ND4,CKD,0.0053210445,400,90.84936,110.11677,172.09406,-21.354938507080078,21.354938507080078,0.11363057755364991
PC,MALAT1,CKD,0.0031345552,400,129.01323,192.47466,324.44586,-34.25489044189453,34.25489044189453,0.1073738443897625
PC,MT-ND1,CKD,0.006169964,400,31.62005,45.12605,85.08782,-13.227887153625488,13.227887153625488,0.08161558877358255
PC,MT-ND2,CKD,0.004344188,400,41.834995,59.774208,111.83049,-17.058534622192383,17.058534622192383,0.07410548383531168
PC,CLU,CKD,0.015225967,400,12.651827,16.521389,11.777147,4.306901931762695,4.306901931762695,0.06557674837496208
PC,IER3,CKD,0.015460125,400,0.8320134,0.72637653,8.4906845,-3.934972435235977,3.934972435235977,0.06083516639179817
PC,COX7C,CKD,0.01523456,400,6.3507886,6.377087,13.656146,-3.626380205154419,3.626380205154419,0.05524630600012159
PC,MT-ND5,CKD,0.014990953,400,16.277885,23.341017,36.51801,-3.0569305419921875,3.0569305419921875,0.04582630145942801
PC,WFDC2,CKD,0.016376466,400,30.049665,20.526545,16.3712,-2.6838884353637695,2.6838884353637695,0.04395260652594857
PC,AQP2,CKD,0.004653026,400,31.859545,34.54884,55.997166,-9.379515647888184,9.379515647888184,0.04364312909070689
PC,XIST,CKD,0.03960773,400,0.6317691,2.010258,1.392864,0.99794140458107,0.99794140458107,0.03952619347174868
PC,RPS4Y1,CKD,0.028086115,400,1.3205,0.2643974,1.9565412,-1.3741231858730316,1.3741231858730316,0.03859378137574054
PC,ATP1B1,CKD,0.013325266,400,16.975649,15.457198,19.264254,-2.662753105163574,2.662753105163574,0.035481892376769686
PC,TXNIP,CKD,0.032714445,400,2.653175,4.209265,3.610175,1.0775902271270752,1.0775902271270752,0.03525276637299246
PC,FXYD4,CKD,0.00551138,400,34.434074,39.319885,56.53918,-6.166742324829102,6.166742324829102,0.03398725908541245
PC,TMEM176B,CKD,0.033122327,400,1.3981122,2.6756208,2.1478517,0.902638852596283,0.902638852596283,0.029897499399915484
PC,SAT1,CKD,0.013062235,400,2.616056,3.309426,8.349951,-2.173577308654785,2.173577308654785,0.028391777526646678
PC,ATP1B3,CKD,0.011918418,400,0.59798306,0.64922106,5.28503,-2.2922854125499725,2.2922854125499725,0.027320415972887924
PC,FOS,CKD,0.006698787,400,1.2486875,2.2500517,11.275599,-4.012091279029846,4.012091279029846,0.026876145754833658
PC,JUND,CKD,0.006708997,400,2.0638704,2.842692,11.610219,-3.9943528175354004,3.9943528175354004,0.026798100415096338
PC,MINOS1,CKD,0.01101886,400,2.812803,2.6859672,7.3229637,-2.3819161653518677,2.3819161653518677,0.026246001124216156
PC,CHCHD10,CKD,0.011191723,400,4.586334,4.1401525,8.281901,-2.2939653396606445,2.2939653396606445,0.02567342450839849
