cell_type,gene,variance,variance_rank
CNT,TNFRSF12A,47.7781919092223,152
CNT,RPL9,46.87701803007845,153
CNT,CA2,46.653370323170904,154
CNT,MGP,44.45204321627041,155
CNT,RPS21,43.66744416080588,156
CNT,TACSTD2,42.966409531277705,157
CNT,WNK1,42.501017409878145,158
CNT,MIF,42.377721354577744,159
CNT,RPS29,42.211754633623286,160
CNT,JUN,42.15709762259036,161
CNT,UQCRQ,41.025998771811686,162
CNT,JUNB,40.72397127032878,163
CNT,NACA,40.69965019181393,164
CNT,EPCAM,40.095578789362385,165
CNT,RHCG,39.93724360036835,166
CNT,NDUFB2,39.870326232535184,167
CNT,HINT1,39.4244067799457,168
CNT,TMA7,38.578532352886356,169
CNT,HSPA8,38.33062025663955,170
CNT,CDH16,37.55150196743381,171
CNT,MYL12B,36.838573669110545,172
CNT,UBL5,36.70973990799831,173
CNT,ATP5MD,36.42143789393537,174
CNT,RPS5,35.41169164360073,175
CNT,C12orf75,35.100017275683996,176
CNT,ATP5F1D,34.62939505377432,177
CNT,NDUFA1,34.57587952651307,178
CNT,COX7A2,34.53816586719036,179
CNT,ATP5PF,34.40278747433516,180
CNT,SKP1,34.05522447816537,181
CNT,PFN1,33.78445607853908,182
CNT,PRDX1,33.319887622739564,183
CNT,CALM2,33.18798247809684,184
CNT,CD9,33.109260419211466,185
CNT,CYB5A,33.00118110152159,186
CNT,H3F3A,32.81518975500766,187
CNT,RTN4,32.10388609440999,188
CNT,ATP5ME,31.766838320149372,189
CNT,OLFM4,31.575142991685087,190
CNT,UQCR10,31.49191007077717,191
CNT,TSPAN1,31.450158972256144,192
CNT,RPL22,31.356749687982752,193
CNT,ZFP36L2,31.29455393585812,194
CNT,KNG1,31.24210790013393,195
CNT,CYCS,31.147718653450696,196
CNT,CHCHD2,29.990801186742377,197
CNT,UQCR11,29.25169371663248,198
CNT,ATP5G3,29.0430416397169,199
CNT,MGST3,28.767889283835608,200
CNT,RPS10,28.47593336803984,201
CNT,PFDN5,28.191400316441243,202
CNT,RPL10A,28.16709374788995,203
CNT,GPX4,27.867945930326275,204
CNT,GSTM3,27.459987324725954,205
CNT,CD74,26.3906937956326,206
CNT,NDUFS5,26.15781218906706,207
CNT,ATP5MC2,26.103639104955846,208
CNT,ATP6V0B,25.66002643075377,209
CNT,MT1E,24.72226969540043,210
CNT,CLDN4,24.586043727254754,211
CNT,HSPA5,24.42314549815157,212
CNT,RACK1,24.299147421721802,213
CNT,MTRNR2L8,24.148813472630557,214
CNT,HLA-B,24.10213560381633,215
CNT,RPLP2,23.668832876379604,216
CNT,ATP5E,23.617026839345932,217
CNT,TMEM59,23.339041910428325,218
CNT,OST4,23.138157438916895,219
CNT,PRDX5,23.04383492225873,220
CNT,MINOS1,23.015075030532273,221
CNT,ATP5L,22.920974552311733,222
CNT,DNAJB1,22.37152759805743,223
CNT,DYNLL1,22.260690561770538,224
CNT,PRDX2,22.204604710382576,225
CNT,NFE2L2,22.136901041637252,226
CNT,LTF,21.86436882544273,227
CNT,UBA52,21.830402850649975,228
CNT,BCAM,21.696909131649974,229
CNT,CD81,21.614291691605803,230
CNT,BEX3,21.59667920178598,231
CNT,ATP6V0E1,21.57341371620092,232
CNT,SLC25A3,21.468871792697087,233
CNT,RASD1,21.14291978416024,234
CNT,BTG2,21.091773511544517,235
CNT,S100A4,20.838689916347022,236
CNT,CCL2,20.80010416293238,237
CNT,ENO1,20.681327721399718,238
CNT,ATP5IF1,20.649811404351123,239
CNT,PKM,20.4152076434817,240
CNT,CDK2AP2,20.39383636497573,241
CNT,DUSP1,20.323055773934104,242
CNT,NDUFB1,20.256233678850194,243
CNT,ATP5MC1,20.255176410514856,244
CNT,SOX4,20.211170796311535,245
CNT,SOD2,20.173778467493086,246
CNT,PEBP1,20.16278175467501,247
CNT,ELOB,20.08777672508737,248
CNT,ATP5I,19.941636550804027,249
CNT,NDUFA13,19.643818995950973,250
CNT,SLC25A5,19.601788346303984,251
CNT,ARG2,19.566692416735982,252
CNT,RPL23A,19.35724009586885,253
CNT,USMG5,19.293828477313017,254
CNT,RPL37A,19.277866806528703,255
CNT,LGALS3,19.07175144309854,256
CNT,GADD45B,19.04702995966756,257
CNT,ATP5J,18.939238718906836,258
CNT,RPS2,18.844775032351233,259
CNT,TXNIP,18.808859004576426,260
CNT,RPL27,18.765099533074547,261
CNT,HSP90AB1,18.596236087092723,262
CNT,HSP90B1,18.337094858731305,263
CNT,RPL38,18.11865564165209,264
CNT,RPL7,18.062663047762896,265
CNT,CA12,17.96391384111851,266
CNT,SEC61G,17.772891857677173,267
CNT,EIF3K,17.698080631529486,268
CNT,PHLDA2,17.662078894641898,269
CNT,GUK1,17.47223227981391,270
CNT,ANXA2,17.286427377443914,271
CNT,DBI,17.174295265953504,272
CNT,ATP6V1F,17.092100619254744,273
CNT,ATP1B3,17.0794742104365,274
CNT,COX5A,17.029040566706264,275
CNT,RPL36AL,16.86425230706253,276
CNT,ATP5D,16.79880026801912,277
CNT,TOMM7,16.42480526073907,278
CNT,ATP5F1B,16.150902940448535,279
CNT,PIGR,16.107565420133284,280
CNT,CFL1,15.975793878609213,281
CNT,PVALB,15.857735740897871,282
CNT,TPI1,15.720821069223492,283
CNT,ADM,15.64592122136009,284
CNT,HLA-A,15.542628664484807,285
CNT,TMBIM6,15.475057028956648,286
CNT,DSTN,15.461902574460728,287
CNT,LAPTM4A,15.257377787391139,288
CNT,ATF3,15.219543489441197,289
CNT,NDUFC1,15.121491094344323,290
CNT,COMMD6,14.930262264503298,291
CNT,NDUFB7,14.874631312921359,292
CNT,SOD1,14.84757381027288,293
CNT,EGR1,14.714022840271703,294
