cell_type,gene,class,importance,n_cells_used_for_importance,mean_expr_AKI,mean_expr_CKD,mean_expr_Ref,target_minus_others_mean,abs_target_minus_others_mean,combined_score
PT,ANAPC11,AKI,0.037083343,400,0.8609625,0.70072156,0.66476744,0.17821800708770752,0.17821800708770752,0.006608919427046445
PT,H2AFJ,AKI,0.029457517,400,0.7771766,0.5985688,0.50780946,0.22398748993873596,0.22398748993873596,0.006598115285546102
PT,ENY2,AKI,0.020686712,400,1.1441923,0.8374014,0.8140807,0.31845128536224365,0.31845128536224365,0.006587710063259866
PT,AKR1C3,AKI,0.01989284,400,1.3217989,1.0423415,0.9403518,0.3304522931575775,0.3304522931575775,0.006573634501199799
PT,ACADM,AKI,0.02722625,400,0.7516774,0.84403443,1.1383855,-0.23953258991241455,0.23953258991241455,0.006521574324300783
PT,ACADSB,AKI,0.02475909,400,0.20197776,0.33909556,0.5897045,-0.26242227852344513,0.26242227852344513,0.006497336700232309
PT,NDRG1,AKI,0.021227928,400,0.3912373,0.5336511,0.85910094,-0.3051387369632721,0.3051387369632721,0.0064774631011926265
PT,MDH2,AKI,0.040478293,400,0.88020027,0.7135683,0.7271807,0.15982577204704285,0.15982577204704285,0.006469474406319509
PT,VDAC1,AKI,0.018504597,400,1.376239,1.0641303,0.98991287,0.34921735525131226,0.34921735525131226,0.0064621265104647385
PT,PSMD8,AKI,0.032327473,400,0.8057619,0.6269722,0.5850109,0.19977033138275146,0.19977033138275146,0.006458070026660323
PT,COX5A,AKI,0.015571635,400,1.381753,0.9530776,0.98581225,0.4123080372810364,0.4123080372810364,0.006420310353360881
PT,LINC00493,AKI,0.029672872,400,0.048427273,0.21039961,0.315948,-0.21474653854966164,0.21474653854966164,0.006372146609906967
PT,ZNHIT1,AKI,0.024929048,400,1.6347448,1.3430084,1.4159226,0.2552792429924011,0.2552792429924011,0.006363868627942693
PT,HACD3,AKI,0.030082773,400,0.39594257,0.2627919,0.10618131,0.21145596355199814,0.21145596355199814,0.00636118183925774
PT,TSKU,AKI,0.035307374,400,0.09242552,0.13052498,0.41449082,-0.18008238077163696,0.18008238077163696,0.006358235941979151
PT,ATP11A,AKI,0.045764055,400,0.30892757,0.21254738,0.1277707,0.1387685239315033,0.1387685239315033,0.006350610375772114
PT,CISD2,AKI,0.03795283,400,0.48874956,0.36435297,0.27975625,0.16669495403766632,0.16669495403766632,0.006326545111149662
PT,LRP2,AKI,0.03997678,400,2.3217711,2.1266534,2.2007465,0.15807116031646729,0.15807116031646729,0.006319175900968421
PT,LEPROT,AKI,0.010264934,400,1.2691065,0.8324209,0.47751284,0.6141396462917328,0.6141396462917328,0.00630410296090575
PT,ZBTB20,AKI,0.010963636,400,1.6146399,1.3676944,0.7178562,0.5718645751476288,0.5718645751476288,0.006269715300820794
PT,VTI1B,AKI,0.04683227,400,0.6811398,0.561686,0.53348196,0.13355585932731628,0.13355585932731628,0.006254724187007232
PT,PDLIM1,AKI,0.017997824,400,0.65299195,0.38493448,0.22628851,0.34738045185804367,0.34738045185804367,0.006252092113945562
PT,YIF1A,AKI,0.05691852,400,0.45192638,0.36500424,0.3191704,0.10983906686306,0.10983906686306,0.006251877176792486
PT,NAA20,AKI,0.049800433,400,0.55141014,0.43354204,0.41858053,0.12534885108470917,0.12534885108470917,0.0062424270874571475
PT,CDH16,AKI,0.035976384,400,0.7319265,0.5741104,0.54283506,0.17345377802848816,0.17345377802848816,0.006240239695997185
PT,AOX1,AKI,0.043086633,400,0.3504778,0.18982317,0.22336821,0.1438821256160736,0.1438821256160736,0.006199396354082953
PT,NDUFA13,AKI,0.040516365,400,2.124105,2.2958882,1.6464661,0.15292781591415405,0.15292781591415405,0.006196079257089648
PT,PRR13,AKI,0.025839837,400,1.1563709,0.88048774,0.95291716,0.23966842889785767,0.23966842889785767,0.006192993200996644
PT,ALDH2,AKI,0.012316731,400,0.8713712,1.0573969,1.6892062,-0.5019303560256958,0.5019303560256958,0.006182141077896497
PT,LSM7,AKI,0.017994208,400,0.8924762,0.64972466,0.4481768,0.3435254693031311,0.3435254693031311,0.006181468837725634
PT,SRSF10,AKI,0.042014826,400,0.3380603,0.23766614,0.14442287,0.147015780210495,0.147015780210495,0.006176842437903729
PT,DCDC2,AKI,0.018565211,400,0.6102751,0.3964968,0.15899143,0.3325309753417969,0.3325309753417969,0.006173507869263517
PT,AIF1L,AKI,0.013974144,400,0.8650836,0.5323291,0.32243857,0.43769975006580353,0.43769975006580353,0.0061164793902371145
PT,PBLD,AKI,0.014115727,400,0.6908646,0.8613684,1.3859462,-0.43279266357421875,0.43279266357421875,0.006109182902790167
PT,PGLS,AKI,0.021633215,400,0.82686853,0.5822216,0.5068948,0.2823103070259094,0.2823103070259094,0.0061072796387855455
PT,YWHAQ,AKI,0.02070278,400,0.8016829,0.5986714,0.41506115,0.29481662809848785,0.29481662809848785,0.0061035235834472346
PT,NPC2,AKI,0.039177436,400,1.2866852,1.347297,0.9145821,0.1557457149028778,0.1557457149028778,0.006101717837310949
PT,LDHA,AKI,0.009088461,400,1.4566277,0.9356728,0.63655174,0.6705154478549957,0.6705154478549957,0.006093953690379933
PT,TMEM208,AKI,0.03805622,400,0.600982,0.45488176,0.42769486,0.15969370305538177,0.15969370305538177,0.0060773388333133505
PT,SNRPD2,AKI,0.014249439,400,1.0940529,0.75922275,0.57761204,0.42563551664352417,0.42563551664352417,0.006065067480154396
PT,PAFAH1B3,AKI,0.04027019,400,0.31172258,0.22728737,0.0954097,0.15037404373288155,0.15037404373288155,0.006055591415346159
PT,TAF10,AKI,0.02204071,400,0.8047341,0.56871593,0.49137047,0.2746909111738205,0.2746909111738205,0.006054382672485703
PT,ESD,AKI,0.02157357,400,1.0224088,0.8184499,0.6653076,0.28053009510040283,0.28053009510040283,0.006052035538729239
PT,FKBP2,AKI,0.021265874,400,1.4036392,1.039458,1.2020416,0.28288936614990234,0.28288936614990234,0.0060158895275090885
PT,AURKAIP1,AKI,0.02003073,400,1.6483378,1.2902212,1.4060597,0.3001973628997803,0.3001973628997803,0.006013172164644587
PT,GPX1,AKI,0.009727326,400,0.22470722,0.6195091,1.0642699,-0.6171822845935822,0.6171822845935822,0.006003533420535417
PT,TRIM44,AKI,0.041491326,400,0.37793818,0.28372705,0.18383567,0.1441568210721016,0.1441568210721016,0.0059812576502489
PT,ERBIN,AKI,0.040025733,400,0.3078532,0.21450177,0.10247785,0.14936338365077972,0.14936338365077972,0.005978378975417642
PT,ATP5H,AKI,0.021189522,400,0.08431043,0.3233778,0.4086816,-0.28171926736831665,0.28171926736831665,0.005969496613208447
PT,ASPDH,AKI,0.018386686,400,0.14974475,0.28255633,0.66444254,-0.32375468313694,0.32375468313694,0.00595277577134215
PT,MCRIP1,AKI,0.018623639,400,0.5775203,0.33945256,0.1806163,0.31748587638139725,0.31748587638139725,0.005912742316984826
PT,SKP1,AKI,0.007567708,400,2.979337,2.445012,1.9555941,0.779033899307251,0.779033899307251,0.0058955010057309964
PT,UQCRFS1,AKI,0.017833363,400,1.2315634,0.89912194,0.90316635,0.33041930198669434,0.33041930198669434,0.005892487442030081
PT,NDUFA1,AKI,0.02376247,400,2.3877325,2.1555865,2.1243644,0.24775707721710205,0.24775707721710205,0.005887320142222263
PT,MSRA,AKI,0.015765572,400,0.51954776,0.643522,1.1419024,-0.37316447496414185,0.37316447496414185,0.005883151385488117
PT,MRPL50,AKI,0.0416154,400,0.3661083,0.24528246,0.2050632,0.1409354731440544,0.1409354731440544,0.0058650861543805
PT,RARRES2,AKI,0.015719669,400,1.1614705,1.006517,0.57053304,0.37294548749923706,0.37294548749923706,0.005862579596046635
PT,GPC4,AKI,0.024860179,400,0.44697595,0.3056936,0.11678928,0.2357345074415207,0.2357345074415207,0.005860402063673914
PT,TINAGL1,AKI,0.019806152,400,0.5851205,0.38925374,0.1893983,0.2957944795489311,0.2957944795489311,0.005858550484717243
PT,DUT,AKI,0.025861392,400,0.7226306,0.53124315,0.4610605,0.22647880017757416,0.22647880017757416,0.005857056985256598
PT,LAMTOR2,AKI,0.019589823,400,1.0018302,0.7365353,0.67034376,0.2983906865119934,0.2983906865119934,0.0058454206558467
PT,SNX6,AKI,0.023517074,400,0.5821888,0.38719985,0.28080156,0.2481880784034729,0.2481880784034729,0.005836657421472435
PT,TCEAL9,AKI,0.019046284,400,0.5424734,0.30245423,0.16999193,0.30625029653310776,0.30625029653310776,0.005832930201978337
PT,PRDX6,AKI,0.053050157,400,1.7794695,1.7614874,1.5783442,0.10955369472503662,0.10955369472503662,0.005811840670335133
PT,PSMB3,AKI,0.015960554,400,1.1346662,0.81962156,0.7216324,0.36403921246528625,0.36403921246528625,0.005810267385256307
PT,AKR1C1,AKI,0.050592616,400,0.43417916,0.73775333,0.35998222,-0.11468861997127533,0.11468861997127533,0.005802397332765663
PT,TUBA1A,AKI,0.019594781,400,0.62057257,0.48343608,0.16585793,0.2959255650639534,0.2959255650639534,0.0057985966695439095
PT,LGALS3BP,AKI,0.028064305,400,0.5230976,0.43887106,0.19432405,0.20650002360343933,0.20650002360343933,0.005795279637222872
PT,HSP90AA1,AKI,0.037185125,400,3.1091177,3.361194,3.1682246,-0.15559148788452148,0.15559148788452148,0.005785688934157207
PT,COMMD8,AKI,0.023010617,400,0.5582643,0.33806205,0.27736214,0.2505522221326828,0.2505522221326828,0.005765361252575013
PT,POMP,AKI,0.0078312615,400,2.0085087,1.3522546,1.1928658,0.7359484434127808,0.7359484434127808,0.005763404705927289
PT,PLXNB2,AKI,0.03022198,400,0.5779018,0.4360887,0.3387008,0.19050702452659607,0.19050702452659607,0.0057574994975057026
PT,SNRPD1,AKI,0.025407713,400,0.5387424,0.35335988,0.27138528,0.22636984288692474,0.22636984288692474,0.005751539978782916
