cell_type,gene,variance,variance_rank
IC,DDT,19.60590758410305,296
IC,PRDX6,19.509491924288508,297
IC,RPS11,19.387152783805476,298
IC,HSP90AB1,19.27813798806185,299
IC,ALDOA,19.145774336290412,300
IC,NPM1,19.098322278685682,301
IC,RPL23,19.067392304364162,302
IC,SUMO2,18.86849309320146,303
IC,PTGER3,18.848553791724644,304
IC,RPL36A,18.779902919845394,305
IC,RPLP0,18.713214653629528,306
IC,COA3,18.100929487334476,307
IC,RPL17,18.054509679032137,308
IC,SEC61G,17.98854385082626,309
IC,ATP6V1G1,17.911432449486583,310
IC,GADD45B,17.845164127778624,311
IC,ISCU,17.798513816069715,312
IC,SOD1,17.57920910764418,313
IC,TMBIM6,17.272071773658453,314
IC,TXN,17.20013545643331,315
IC,MTRNR2L8,17.116787817447516,316
IC,SLC25A39,17.030164564982382,317
IC,ATP6V1B1,17.018955347011577,318
IC,GDF15,16.88558787293901,319
IC,MT-ATP8,16.627025120874357,320
IC,NDUFB4,16.611090854828433,321
IC,SUB1,16.550086918721426,322
IC,HSPA1B,16.470089146990624,323
IC,PKM,16.381262068029386,324
IC,BEX3,16.368919228534878,325
IC,CAMK2N1,16.14492123839991,326
IC,CALCA,16.12341945854742,327
IC,NDUFB9,15.852940171504672,328
IC,CSTB,15.779171503724836,329
IC,ATP5F1C,15.75828814120416,330
IC,FAM24B,15.71108820701398,331
IC,NDUFB8,15.588895508341661,332
IC,IL18,15.57254734030894,333
IC,TNFRSF12A,15.500796984557288,334
IC,NDUFA6,15.486344052212647,335
IC,KNG1,15.400291369770493,336
IC,LAPTM4A,15.367805342557222,337
IC,NDUFB3,15.232661341761965,338
IC,RARRES2,15.167064535349942,339
IC,GPR116,14.987650581106355,340
IC,C14orf2,14.885135480251055,341
IC,ATP5G1,14.740809555021812,342
IC,BCAM,14.732819939375133,343
IC,RPL4,14.643053118973768,344
IC,RASD1,14.44032034530512,345
IC,LDHA,14.42296674163904,346
IC,NDUFB10,14.328983630544018,347
IC,ATPIF1,14.092384197629698,348
IC,YWHAE,14.08273275722625,349
IC,HNRNPA1,13.984540808152323,350
IC,HIGD1A,13.978837014093562,351
IC,TSPAN1,13.91319704616052,352
IC,ACAT1,13.807785143394455,353
IC,MT1E,13.386025147880368,354
IC,SSR4,13.347354033698522,355
IC,S100A13,13.296118613056075,356
IC,NDUFS8,13.29163225247972,357
IC,HMGB1,13.204838471928413,358
IC,SPCS1,13.049190112455573,359
IC,GNG5,12.97941501990269,360
IC,TCEB2,12.955167279749752,361
IC,GSTM3,12.889478652775642,362
IC,CLCNKB,12.86068323998336,363
IC,ANXA4,12.833830408250034,364
IC,RPL13A,12.769754339614417,365
IC,HNRNPH1,12.656848999103543,366
IC,SLC12A3,12.65180452783902,367
IC,ID3,12.648830730105903,368
IC,EGR1,12.581587586138681,369
IC,RPS27L,12.465324914356863,370
IC,NDUFA11,12.30472679899003,371
IC,NDUFA12,12.298351819542392,372
IC,AQP6,12.288196098014044,373
IC,C9orf16,12.273852264895504,374
IC,NDUFAB1,12.270945322867348,375
IC,GUK1,12.235139451139567,376
IC,WDR83OS,12.17045718224808,377
IC,SPINT2,11.998368115472168,378
IC,C19orf70,11.991363709598748,379
IC,DSTN,11.974072726246758,380
IC,CLDN4,11.953046599782297,381
IC,SMDT1,11.813750380673602,382
IC,SEC61B,11.806059025767066,383
IC,ATP5B,11.796626003986265,384
IC,NDUFV2,11.795527860775595,385
IC,MRPL41,11.788704049533862,386
IC,SELENOP,11.734414887419838,387
IC,SELENOM,11.710417405505108,388
IC,ENO1,11.688641238740235,389
IC,VDAC1,11.6154129807767,390
IC,CLDN7,11.56875342290418,391
IC,NDUFS6,11.505009538970311,392
IC,CIRBP,11.498925686389546,393
IC,CAPG,11.494639440346575,394
IC,SELENOW,11.423673423517648,395
IC,ATP5O,11.411985015281152,396
IC,NDUFB5,11.37742419763215,397
IC,PIGR,11.343152644824068,398
IC,SNHG29,11.292799305177727,399
IC,RPS4Y1,11.274439147468431,400
IC,CRYAB,11.229529682684916,401
IC,LITAF,11.150513929366515,402
IC,UQCRFS1,11.081917455879113,403
IC,SMIM24,10.968014977091432,404
IC,PHPT1,10.938093863114071,405
IC,HSP90B1,10.937738299060804,406
IC,FKBP2,10.906209479420886,407
IC,DAD1,10.77604019131413,408
IC,VAMP8,10.711056333951598,409
IC,TSPO,10.694976762922098,410
IC,MTRNR2L12,10.68509712701978,411
IC,GPX1,10.657479368002322,412
IC,NDUFA2,10.618186146274782,413
IC,FIS1,10.603543746420618,414
IC,NR4A1,10.599720036982193,415
IC,CALR,10.504033740127861,416
IC,PARK7,10.489221100118314,417
IC,NFE2L2,10.468783531756799,418
IC,BTG2,10.468390806912444,419
IC,HSBP1,10.456474019506285,420
IC,HADHB,10.424970916977816,421
IC,NDUFA5,10.381517074614607,422
IC,COX17,10.34584229005585,423
IC,HSPA5,10.335039239145733,424
IC,GABARAPL2,10.307410947445277,425
IC,SMIM6,10.302596287052861,426
IC,NDUFS7,10.258229754083759,427
IC,HNRNPA2B1,10.217870734623233,428
IC,NGFRAP1,10.202997691421714,429
IC,NPC2,10.174407720748341,430
IC,COX7A2L,10.041177360177247,431
IC,HMGN1,9.991826089990134,432
IC,MYL12A,9.945835751186475,433
IC,ATP5J2,9.876984362722975,434
IC,MUC1,9.8360711860659,435
IC,SRP9,9.814797597892436,436
IC,POMP,9.749220820463258,437
IC,IDH2,9.721664107998624,438
IC,CIB1,9.71026411521126,439
IC,HMGN3,9.645645091833345,440
IC,SAP18,9.641105274985263,441
IC,ATP5F1A,9.479524123270732,442
IC,TBCA,9.440719771484044,443
IC,YBX1,9.322058009910684,444
IC,RHOB,9.304326546778578,445
IC,SLC12A1,9.189287217108566,446
IC,TMEM258,9.143936516951399,447
IC,TSTD1,9.132458790756534,448
IC,BLOC1S1,9.096444093113062,449
IC,ATP5H,9.036271551002244,450
IC,DYNLRB1,8.919344043522724,451
IC,PCBD1,8.876322703428585,452
IC,CUTA,8.866292457863645,453
IC,TRMT112,8.840664241102644,454
IC,HIGD2A,8.835036222261508,455
IC,LAMTOR4,8.770522388488317,456
IC,CD59,8.72722245678635,457
IC,ATOX1,8.573728600499805,458
IC,TMEM141,8.509837525346377,459
IC,CYC1,8.462126884845837,460
IC,SNRPG,8.414326608302535,461
IC,TSPAN8,8.307069852064684,462
IC,PTGR1,8.288187317826608,463
