cell_type,class,gene,combined_score,importance,target_minus_others_mean,abs_target_minus_others_mean,mean_expr_AKI,mean_expr_CKD,mean_expr_Ref
DCT,AKI,PPIC,0.046127809144839826,0.07476422,0.6169770509004593,0.6169770509004593,1.0429094,0.40081304,0.45105162
DCT,AKI,UQCR11.1,0.044507601366219215,0.016700158,-2.665100632235408,2.665100632235408,0.015573384,1.1147469,4.246601
DCT,AKI,AGRN,0.04406328733651943,0.041741658,1.0556190013885498,1.0556190013885498,1.7855895,0.5780473,0.88189363
DCT,AKI,HLA-A,0.043911018520106815,0.02458599,1.786017894744873,1.786017894744873,3.7157314,1.5758386,2.2835884
DCT,AKI,PLXNB1,0.04385348053682864,0.06201909,0.7070964723825455,0.7070964723825455,1.3386556,0.40301022,0.860108
DCT,AKI,ALDOA,0.04270772870688161,0.021400152,-1.9956741034984589,1.9956741034984589,0.26831314,1.3238465,3.204128
DCT,AKI,CFI,0.04226379739785158,0.082168676,0.5143541246652603,0.5143541246652603,0.71649677,0.24424148,0.1600438
DCT,AKI,CRIP2,0.04206725404347633,0.0755116,0.5570966005325317,0.5570966005325317,1.0447794,0.4080932,0.5672724
DCT,AKI,STMP1,0.04194952590131984,0.0504364,0.8317311704158783,0.8317311704158783,1.1564871,0.29811212,0.35139975
DCT,AKI,ATP5F1A,0.04149732926756872,0.026458757,1.5683778822422028,1.5683778822422028,2.940253,0.9153051,1.8284452
DCT,AKI,CPEB4,0.04140290015520698,0.050488733,-0.8200423717498779,0.8200423717498779,1.0129468,1.0854659,2.5805125
DCT,AKI,USMG5,0.041257388229385614,0.012698724,-3.248939692042768,3.248939692042768,0.0131815085,1.1237001,5.4005423
DCT,AKI,RPL7A,0.041188540096964266,0.021994522,1.8726726770401,1.8726726770401,8.7789545,3.6318347,10.180729
DCT,AKI,GNB2L1,0.04106536804042486,0.027160024,-1.5119783263653517,1.5119783263653517,0.014458211,0.7029235,2.3499496
DCT,AKI,RPS19,0.04095968401818506,0.014988882,2.7326711416244507,2.7326711416244507,8.908312,3.8154051,8.535876
DCT,AKI,MT1G,0.04057131671076508,0.014266524,2.8438122272491455,2.8438122272491455,7.972635,5.3059816,4.9516635
DCT,AKI,ATP5D,0.04030497515301523,0.015027902,-2.682009432464838,2.682009432464838,0.014418449,1.1243583,4.2684975
DCT,AKI,RPL10,0.039764853397318944,0.031821825,1.2496094703674316,1.2496094703674316,11.23518,5.995967,13.975174
DCT,AKI,KCNJ16,0.03933041047876529,0.047693525,0.8246488571166992,0.8246488571166992,4.737624,3.001769,4.8241816
DCT,AKI,SELENOH,0.039236699833992805,0.0581349,0.6749250590801239,0.6749250590801239,1.0808531,0.3459204,0.46593568
DCT,AKI,S100A11,0.039220600843401954,0.012002082,3.2678165435791016,3.2678165435791016,6.1991215,3.0529191,2.8096907
DCT,AKI,ATP5B,0.039109271066944534,0.0217327,-1.7995588509365916,1.7995588509365916,0.0059864195,0.825287,2.7858036
DCT,AKI,TMEM37,0.03898083723857804,0.052348897,0.7446353137493134,0.7446353137493134,1.5068922,0.5472622,0.9772516
